year_month,ads,ai_any_pct,ai_any_pct_12m_mean,floor_pct,floor_pct_12m_mean
2010-01,16615,0.0782,0.0832,0.0301,0.0282
2010-02,19551,0.0511,0.0813,0.0256,0.027
2010-03,23138,0.0778,0.0759,0.0259,0.0259
2010-04,22125,0.0723,0.0753,0.0136,0.0254
2010-05,25705,0.0739,0.0717,0.0233,0.0246
2010-06,23336,0.06,0.0719,0.0257,0.0238
2010-07,13598,0.0735,0.0761,0.0368,0.025
2010-08,20375,0.0491,0.0738,0.0344,0.0278
2010-09,23454,0.064,0.0711,0.0171,0.0282
2010-10,22983,0.0435,0.0649,0.0261,0.0254
2010-11,23779,0.1262,0.0682,0.0547,0.0267
2010-12,21276,0.1081,0.0731,0.047,0.03
2011-01,24855,0.0764,0.073,0.0201,0.0292
2011-02,27677,0.1012,0.0772,0.0361,0.0301
2011-03,31186,0.0898,0.0782,0.0321,0.0306
2011-04,28535,0.0946,0.08,0.0421,0.033
2011-05,35306,0.0821,0.0807,0.0283,0.0334
2011-06,26488,0.0755,0.082,0.0302,0.0337
2011-07,16269,0.1168,0.0856,0.0492,0.0348
2011-08,25244,0.0713,0.0875,0.0357,0.0349
2011-09,27148,0.0737,0.0883,0.0221,0.0353
2011-10,25895,0.0888,0.092,0.027,0.0354
2011-11,26923,0.1931,0.0976,0.0669,0.0364
2011-12,23846,0.0923,0.0963,0.0503,0.0367
2012-01,29164,0.1166,0.0997,0.0514,0.0393
2012-02,30752,0.1268,0.1018,0.0325,0.039
2012-03,32299,0.0774,0.1008,0.0279,0.0386
2012-04,28825,0.0624,0.0981,0.0069,0.0357
2012-05,34003,0.0676,0.0969,0.0265,0.0355
2012-06,28130,0.1066,0.0994,0.0498,0.0372
2012-07,17606,0.0568,0.0944,0.0341,0.0359
2012-08,25925,0.0771,0.0949,0.0193,0.0346
2012-09,24679,0.1256,0.0993,0.0486,0.0368
2012-10,28065,0.1033,0.1005,0.0392,0.0378
2012-11,26899,0.119,0.0943,0.052,0.0365
2012-12,20462,0.0831,0.0935,0.044,0.036
2013-01,31280,0.1023,0.0923,0.0256,0.0339
2013-02,29388,0.0817,0.0886,0.0306,0.0337
2013-03,30689,0.0684,0.0878,0.0293,0.0338
2013-04,33303,0.1231,0.0929,0.048,0.0372
2013-05,35286,0.0482,0.0913,0.017,0.0365
2013-06,27106,0.1033,0.091,0.048,0.0363
2013-07,19538,0.0768,0.0927,0.0409,0.0369
2013-08,26394,0.0417,0.0897,0.0038,0.0356
2013-09,27295,0.0659,0.0847,0.0147,0.0328
2013-10,29172,0.072,0.0821,0.0103,0.0304
2013-11,28065,0.0606,0.0773,0.0214,0.0278
2013-12,24421,0.1147,0.0799,0.0369,0.0272
2014-01,32968,0.0849,0.0784,0.0273,0.0273
2014-02,32697,0.0948,0.0795,0.0367,0.0279
2014-03,35011,0.08,0.0805,0.02,0.0271
2014-04,37299,0.0804,0.0769,0.0483,0.0271
2014-05,37905,0.1055,0.0817,0.0448,0.0294
2014-06,33728,0.0889,0.0805,0.0326,0.0281
2014-07,21908,0.1141,0.0836,0.0228,0.0266
2014-08,29978,0.0667,0.0857,0.0234,0.0283
2014-09,34155,0.12,0.0902,0.0439,0.0307
2014-10,32190,0.1056,0.093,0.0404,0.0332
2014-11,24944,0.1443,0.1,0.0481,0.0354
2014-12,23435,0.1963,0.1068,0.0768,0.0388
2015-01,38431,0.0885,0.1071,0.0442,0.0402
2015-02,39106,0.1176,0.109,0.0537,0.0416
2015-03,45886,0.1329,0.1134,0.0654,0.0454
2015-04,44259,0.1017,0.1152,0.0407,0.0447
2015-05,41660,0.1008,0.1148,0.0504,0.0452
2015-06,39237,0.1376,0.1188,0.0739,0.0486
2015-07,23199,0.1379,0.1208,0.0647,0.0521
2015-08,33348,0.063,0.1205,0.027,0.0524
2015-09,38495,0.1143,0.12,0.052,0.0531
2015-10,40628,0.1723,0.1256,0.0788,0.0563
2015-11,45361,0.1389,0.1252,0.0617,0.0574
2015-12,41687,0.3334,0.1366,0.1103,0.0602
2016-01,41924,0.2314,0.1485,0.1288,0.0673
2016-02,48048,0.2602,0.1604,0.127,0.0734
2016-03,50098,0.1497,0.1618,0.0579,0.0728
2016-04,52707,0.1689,0.1674,0.0512,0.0736
2016-05,53079,0.1564,0.172,0.0641,0.0748
2016-06,42945,0.2189,0.1788,0.0885,0.076
2016-07,26770,0.2391,0.1872,0.0859,0.0778
2016-08,38912,0.1876,0.1976,0.0977,0.0837
2016-09,43853,0.1323,0.1991,0.0684,0.085
2016-10,45622,0.2017,0.2015,0.0855,0.0856
2016-11,48852,0.2723,0.2127,0.1064,0.0893
2016-12,45257,0.2828,0.2084,0.1193,0.0901
2017-01,51860,0.187,0.2047,0.0713,0.0853
2017-02,48725,0.2401,0.2031,0.1047,0.0834
2017-03,56341,0.1846,0.206,0.0852,0.0857
2017-04,46832,0.2263,0.2108,0.0833,0.0884
2017-05,52564,0.2625,0.2196,0.1351,0.0943
2017-06,42499,0.2965,0.2261,0.1624,0.1004
2017-07,26991,0.3075,0.2318,0.126,0.1038
2017-08,39452,0.2002,0.2328,0.0938,0.1035
2017-09,41375,0.2731,0.2446,0.1233,0.108
2017-10,42320,0.319,0.2543,0.1654,0.1147
2017-11,44583,0.3634,0.2619,0.1794,0.1208
2017-12,45199,0.4292,0.2741,0.2035,0.1278
2018-01,51894,0.3141,0.2847,0.1599,0.1352
2018-02,45680,0.4663,0.3036,0.2167,0.1445
2018-03,48308,0.3002,0.3132,0.147,0.1496
2018-04,46207,0.3463,0.3232,0.1645,0.1564
2018-05,47174,0.407,0.3352,0.2205,0.1635
2018-06,36982,0.5084,0.3529,0.2758,0.173
2018-07,25270,0.5421,0.3724,0.2018,0.1793
2018-08,35281,0.377,0.3872,0.1927,0.1875
2018-09,36179,0.5362,0.4091,0.2902,0.2014
2018-10,41539,0.5705,0.4301,0.3178,0.2141
2018-11,38160,0.5975,0.4496,0.2647,0.2213
2018-12,31742,0.879,0.487,0.3339,0.2321
2019-01,51255,0.5326,0.5053,0.2439,0.2391
2019-02,43917,0.6376,0.5195,0.2573,0.2425
2019-03,46826,0.5275,0.5385,0.2648,0.2523
2019-04,45335,0.6132,0.5607,0.2845,0.2623
2019-05,44255,0.6282,0.5791,0.2486,0.2647
2019-06,32491,0.7971,0.6032,0.3632,0.2719
2019-07,24518,0.8647,0.6301,0.416,0.2898
2019-08,31306,0.5302,0.6429,0.2268,0.2926
2019-09,32835,0.8314,0.6675,0.3776,0.2999
2019-10,38219,0.8661,0.6921,0.3585,0.3033
2019-11,33999,1.0736,0.7318,0.4265,0.3168
2019-12,31227,1.0888,0.7492,0.4964,0.3303
2020-01,46167,0.5502,0.7507,0.2361,0.3297
2020-02,43803,0.7488,0.76,0.3516,0.3376
2020-03,38542,0.7005,0.7744,0.3088,0.3412
2020-04,26278,0.7687,0.7874,0.3539,0.347
2020-05,25492,0.7022,0.7935,0.3531,0.3557
2020-06,24392,0.7215,0.7872,0.328,0.3528
2020-07,16243,0.9235,0.7921,0.3509,0.3473
2020-08,21032,0.6371,0.801,0.2663,0.3506
2020-09,28482,0.6425,0.7853,0.33,0.3467
2020-10,30166,0.7757,0.7778,0.3514,0.3461
2020-11,29669,0.9943,0.7712,0.4651,0.3493
2020-12,27141,1.1569,0.7768,0.5564,0.3543
2021-01,26116,0.7314,0.7919,0.3255,0.3618
2021-02,31853,0.7692,0.7936,0.3202,0.3591
2021-03,39749,0.8906,0.8095,0.4,0.3667
2021-04,40818,0.7644,0.8091,0.3381,0.3654
2021-05,42454,0.8009,0.8173,0.3745,0.3672
2021-06,38703,0.8475,0.8278,0.4057,0.3737
2021-07,25313,0.9797,0.8325,0.4543,0.3823
2021-08,34738,0.6563,0.8341,0.2821,0.3836
2021-09,47181,0.8033,0.8475,0.3667,0.3867
2021-10,49308,0.7727,0.8473,0.3265,0.3846
2021-11,54187,0.8489,0.8352,0.3894,0.3783
2021-12,61924,0.956,0.8184,0.4053,0.3657
2022-01,58156,0.7084,0.8165,0.3061,0.3641
2022-02,57542,0.7247,0.8128,0.3337,0.3652
2022-03,67352,0.7008,0.797,0.3385,0.3601
2022-04,55144,0.729,0.794,0.2992,0.3568
2022-05,59656,0.8298,0.7964,0.3889,0.358
2022-06,46909,0.7973,0.7922,0.339,0.3525
2022-07,28796,0.948,0.7896,0.3577,0.3444
2022-08,44267,0.6664,0.7904,0.2982,0.3458
2022-09,47347,0.7836,0.7888,0.3971,0.3483
2022-10,50028,0.9595,0.8044,0.4138,0.3556
2022-11,52907,0.877,0.8067,0.3894,0.3556
2022-12,59946,0.9592,0.807,0.4237,0.3571
2023-01,47506,0.5852,0.7967,0.221,0.35
2023-02,46662,0.6258,0.7885,0.3236,0.3492
2023-03,57248,0.6603,0.7851,0.3179,0.3475
2023-04,43741,0.6241,0.7763,0.2903,0.3467
2023-05,57081,0.7235,0.7675,0.3188,0.3409
2023-06,39600,0.8813,0.7745,0.4116,0.3469
2023-07,25444,0.7507,0.7581,0.3812,0.3489
2023-08,39165,0.646,0.7563,0.3651,0.3545
2023-09,40428,0.8064,0.7582,0.3636,0.3517
2023-10,43221,0.9324,0.756,0.4627,0.3557
2023-11,43302,0.9261,0.7601,0.4526,0.361
2023-12,41995,1.1097,0.7726,0.4977,0.3672
2024-01,38363,0.795,0.7901,0.3545,0.3783
2024-02,40735,0.7782,0.8028,0.3044,0.3767
2024-03,42601,0.8732,0.8206,0.3756,0.3815
2024-04,45279,0.8591,0.8401,0.4152,0.3919
2024-05,39245,1.0167,0.8646,0.502,0.4072
2024-06,30116,0.9995,0.8744,0.4848,0.4133
2024-07,23961,1.01,0.896,0.4799,0.4215
2024-08,31545,0.8464,0.9127,0.447,0.4283
2024-09,35188,0.9606,0.9256,0.4916,0.439
2024-10,38938,1.0375,0.9343,0.4854,0.4409
2024-11,37045,1.2687,0.9629,0.602,0.4533
2024-12,38029,1.1018,0.9622,0.5364,0.4566
2025-01,36093,0.9088,0.9717,0.4987,0.4686
2025-02,36649,0.9304,0.9844,0.4939,0.4844
2025-03,40209,0.8854,0.9854,0.4452,0.4902
2025-04,39357,1.1205,1.0072,0.5564,0.5019
2025-05,35598,0.9944,1.0053,0.5281,0.5041
2025-06,27864,1.3315,1.033,0.6747,0.5199
2025-07,20519,1.2964,1.0569,0.7457,0.5421
2025-08,28941,0.9157,1.0626,0.4837,0.5452
2025-09,36261,1.1197,1.0759,0.5267,0.5481
2025-10,37927,1.1311,1.0837,0.5326,0.552
2025-11,35152,1.2887,1.0854,0.6088,0.5526
2025-12,39582,1.2253,1.0957,0.571,0.5555
2026-01,32904,1.085,1.1103,0.5379,0.5587
2026-02,42943,1.1341,1.1273,0.5566,0.564
2026-03,49883,1.0906,1.1444,0.4972,0.5683
2026-04,33405,1.398,1.1675,0.7394,0.5835
2026-05,39236,1.361,1.1981,0.5913,0.5888
2026-06,40986,1.3078,1.1961,0.6978,0.5907
